Year,prysm
1958,26.683796
1959,27.577917
1960,27.269481
1961,27.865264
1962,26.858838
1963,28.027195
1964,25.818802
1965,27.501841
1966,28.119348
1967,28.535663
1968,26.714591
1969,27.506928
1970,27.469099
1971,27.54569
1972,27.682851
1973,27.038552
1974,27.461208
1975,26.727824
1976,27.500315
1977,27.388819
1978,27.514027
1979,27.022116
1980,27.149202
1981,27.483329
1982,27.757893
1983,27.72911
1984,27.258972
1985,27.890641
1986,26.918904
1987,27.23084
1988,27.401363
1989,27.93944
1990,27.17366
1991,27.232445
1992,27.586419
1993,27.31288
1994,26.897124
1995,27.464051
1996,26.753528
1997,27.264851
1998,26.902604
1999,26.851437
2000,27.072308
2001,27.182367
2002,26.191038
2003,26.890366
2004,26.921449
2005,26.223397
2006,26.929692
2007,27.087395
2008,27.244096
2009,26.269438
2010,26.41642
2011,26.717378
2012,26.299068
2013,26.046729
